label,sample,spectral_band_width,spectral_centroid,spectral_rolloff,sr,zero_crossings,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Supernatural,"[-0.00218022 -0.00707047 -0.00960948 ...  0.07023621  0.05432381
  0.03112949]",1958.0371220094648,2172.366862608749,3758.793937753967,22050.0,73059.0,0.9941480159759521,0.3037753403186798,0.08274392783641815,0.0929965153336525,0.14463306963443756,0.12947975099086761,0.11424332112073898,0.13243043422698975,0.09744366258382797,0.09287186712026596,0.09317421913146973,0.273286908864975,-163.37867736816406,78.30520629882812,-59.2108154296875,22.72564125061035,-1.2977834939956665,-6.449075698852539,-6.763221263885498,12.59572696685791,-2.92317533493042,-0.19252170622348785,-8.919424057006836,8.49826717376709,3.198427438735962,4.946887016296387,3.003763198852539,5.9106125831604,-6.933658599853516,-2.3227055072784424,-5.955717086791992,-1.6557642221450806
Supernatural,"[-2.4019692e-02 -1.4614202e-02  1.3991079e-02 ... -8.0422619e-10
 -3.4061692e-08  0.0000000e+00]",1966.2865519377658,2280.6038525047625,3894.8681149320337,22050.0,83439.0,0.8990659117698669,0.37785929441452026,0.1567450314760208,0.1835118532180786,0.2509155869483948,0.2021404504776001,0.19960586726665497,0.24763162434101105,0.19285330176353455,0.19150082767009735,0.18980231881141663,0.28754541277885437,-219.95361328125,71.09973907470703,-59.35639953613281,20.027231216430664,-2.325639009475708,-7.754969120025635,-6.294145584106445,13.555597305297852,0.3925085961818695,2.2483110427856445,-6.560638904571533,7.720897197723389,2.171969175338745,3.074493408203125,2.883075475692749,6.050467014312744,-4.8325114250183105,-1.0094032287597656,-4.451158046722412,-1.5217998027801514
Supernatural,"[-2.3931671e-07  1.3892093e-06 -2.3721007e-06 ... -9.3724422e-02
 -9.7862758e-02 -9.7870298e-02]",705.0681863843449,544.12800987874,782.745266846459,22050.0,19772.0,0.19925488531589508,0.13288335502147675,0.028221625834703445,0.04619332775473595,0.23771914839744568,0.7144601345062256,0.35643112659454346,0.09610239416360855,0.38036441802978516,0.1264152228832245,0.020831989124417305,0.05778633803129196,-444.8180236816406,146.46913146972656,36.76637649536133,23.11246109008789,5.07680606842041,-4.3196821212768555,-0.5481066703796387,-12.26875114440918,-29.044679641723633,-19.03346824645996,-3.4814724922180176,-11.738720893859863,-30.535259246826172,-27.81555938720703,-13.899825096130371,-1.0784376859664917,5.818382740020752,-7.950308799743652,-15.343979835510254,-13.895323753356934
Supernatural,"[-0.00966626 -0.00986107 -0.01339223 ...  0.00275115  0.00319255
  0.00295491]",889.1855781717394,671.3354526827259,1058.6602650928792,22050.0,22011.0,0.27531665563583374,0.45324990153312683,0.18071794509887695,0.22673583030700684,0.1611814945936203,0.2835194766521454,0.16621074080467224,0.30496442317962646,0.5516859292984009,0.10462451726198196,0.015619472600519657,0.0647726058959961,-382.04241943359375,170.45101928710938,17.134258270263672,21.775108337402344,-9.845548629760742,-24.904062271118164,-15.165377616882324,-10.087763786315918,-21.912994384765625,-21.613468170166016,-18.237228393554688,-21.004846572875977,-27.854087829589844,-20.006742477416992,-5.731671333312988,-1.9233285188674927,-10.200857162475586,-15.929533004760742,-7.0374274253845215,-3.6014389991760254
Supernatural,"[ 0.00202958  0.00058862 -0.00107217 ... -0.01377295  0.02319097
  0.05131426]",981.5745721116967,886.1200578915445,1499.2992672757837,22050.0,40952.0,0.28165778517723083,0.29788315296173096,0.18199484050273895,0.2223464846611023,0.1993093639612198,0.34418976306915283,0.2240271121263504,0.39156872034072876,0.5433871746063232,0.12195169925689697,0.0812927857041359,0.08206930011510849,-292.00018310546875,180.1134490966797,-22.344451904296875,16.797657012939453,13.868871688842773,13.760321617126465,-11.501895904541016,-17.866586685180664,-14.1884126663208,-4.388115882873535,-4.087325096130371,-20.73621368408203,-12.52004623413086,-4.4418230056762695,-8.058465003967285,-2.0622434616088867,1.921337604522705,-4.990346431732178,-2.1395843029022217,0.09980136156082153
Supernatural,"[ 0.07344751  0.08200835  0.07190283 ... -0.01470929 -0.01420581
 -0.01322562]",955.0174836045563,759.4274524744978,1197.709424281637,22050.0,36277.0,0.4633442461490631,0.27185431122779846,0.11056472361087799,0.15039999783039093,0.34425124526023865,0.7790008783340454,0.33842411637306213,0.14027848839759827,0.17511561512947083,0.08620979636907578,0.0629739761352539,0.1330096423625946,-379.6080322265625,172.10931396484375,19.922672271728516,12.399914741516113,22.439916610717773,18.169235229492188,5.2839508056640625,-4.248516082763672,-3.957620143890381,-6.885291576385498,-0.11768551170825958,10.797955513000488,2.8314175605773926,-4.533039093017578,-3.1516144275665283,7.462655544281006,10.956853866577148,-7.052363872528076,-15.202259063720703,6.050887107849121
Supernatural,"[2.2006745e-02 2.3298519e-02 2.0647626e-02 ... 1.9269768e-05 2.1368851e-05
 2.2834791e-05]",1231.230362571746,932.1435916245744,1604.3486320566467,22050.0,39028.0,0.28431129455566406,0.2545146644115448,0.2011256068944931,0.2746933400630951,0.5529654622077942,0.6634011268615723,0.2189038097858429,0.18264596164226532,0.1480550915002823,0.05014139786362648,0.08322169631719589,0.12128706276416779,-493.3824462890625,146.7501983642578,35.32889938354492,-5.932557582855225,9.407235145568848,24.165239334106445,11.993474006652832,-3.303656578063965,-7.722474098205566,-2.654144287109375,9.830826759338379,12.972249984741211,0.31891077756881714,-11.554728507995605,-2.7401137351989746,14.529748916625977,11.995687484741211,-6.149805068969727,-12.091747283935547,1.451991081237793
Supernatural,"[3.9769823e-08 8.3004714e-08 4.3141250e-07 ... 1.1275540e-01 1.2060714e-01
 1.2510264e-01]",1143.2711435073097,911.8080705990326,1943.671580217202,22050.0,24422.0,0.39584317803382874,0.403285413980484,0.47399693727493286,0.5421292781829834,0.5916203260421753,0.5383846759796143,0.5851190090179443,0.7313939929008484,0.6448267698287964,0.536252498626709,0.5273253917694092,0.47952035069465637,-195.89334106445312,181.52743530273438,-22.906383514404297,37.30925750732422,23.721012115478516,4.076066493988037,5.7893500328063965,0.9427264332771301,5.845872402191162,1.8903954029083252,-3.6645545959472656,0.02368355356156826,3.843161106109619,2.025184392929077,0.9234915971755981,0.43862301111221313,4.031031608581543,4.4353156089782715,-1.8488527536392212,-0.9203790426254272
Supernatural,"[ 0.14151727  0.1360274   0.1301361  ... -0.06755199 -0.06988209
 -0.07187103]",789.3541689910041,575.1633725208457,1150.1263786764705,22050.0,16061.0,0.4654029905796051,0.3982906639575958,0.38115495443344116,0.411516398191452,0.44641736149787903,0.43281683325767517,0.5274695754051208,0.8425981998443604,0.6833935379981995,0.532024085521698,0.529090404510498,0.5194428563117981,-254.5598907470703,180.17120361328125,24.575475692749023,42.231346130371094,20.349672317504883,15.446089744567871,6.686988353729248,0.8675479292869568,6.908361911773682,0.3172168433666229,-1.0506936311721802,1.6509325504302979,5.935934543609619,6.536115646362305,4.906000137329102,7.8432512283325195,8.947107315063477,6.877358436584473,3.5557940006256104,0.3423847258090973
Supernatural,"[-5.8628116e-02 -4.4368502e-02 -3.6253590e-02 ... -2.2333590e-07
 -2.8352957e-07  0.0000000e+00]",904.774545367482,572.8159892268349,1104.9349852759772,22050.0,14221.0,0.49732476472854614,0.4621044993400574,0.45058873295783997,0.45293688774108887,0.4676920771598816,0.4540911614894867,0.5386925935745239,0.8147478103637695,0.684272289276123,0.5784019827842712,0.5370447635650635,0.5260630249977112,-273.43048095703125,168.43055725097656,36.526519775390625,37.23025131225586,20.015485763549805,18.76226234436035,6.569996356964111,3.0691404342651367,6.409351825714111,2.1755409240722656,0.31650811433792114,2.0396833419799805,4.496058940887451,5.539223670959473,3.9508438110351562,7.520647048950195,7.580204963684082,5.598608016967773,3.1973941326141357,1.0892949104309082
